crop_type,disease_name,disease_category,symptoms,affected_plant_part,biological_control,chemical_control,prevention_method,recommended_action_priority,farmer_advisory_note
Wheat,Wheat Rust,Fungal,Orange/yellow pustules on leaves; weak stems; reduced grain filling,"Leaves, Stem",Resistant varieties; crop rotation,Propiconazole or tebuconazole,Remove volunteer wheat and monitor early,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Wheat,Powdery Mildew,Fungal,White powdery growth on leaves; yellowing; poor tillering,Leaves,Resistant varieties; balanced nitrogen,Sulfur or triazole fungicide,Avoid dense sowing and improve airflow,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Rice,Rice Blast,Fungal,Diamond-shaped lesions; neck rot; empty panicles,"Leaves, Panicle",Resistant varieties; Trichoderma,Tricyclazole or azoxystrobin,Balanced fertilizer and field drainage,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Rice,Bacterial Leaf Blight,Bacterial,Water-soaked stripes; yellowing leaf edges; wilting seedlings,Leaves,Clean seed; resistant cultivars,Copper-based bactericide,Avoid excessive nitrogen and contaminated water,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Rice,Rice Tungro Virus,Viral,Orange-yellow discoloration; stunting; poor tillering,Whole plant,Control green leafhopper vectors,No direct cure,Plant resistant varieties and synchronize planting,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Maize,Northern Corn Leaf Blight,Fungal,Long gray-green cigar-shaped lesions; leaf drying,Leaves,Residue management; resistant hybrids,Mancozeb or strobilurin fungicide,Rotate crops and avoid infected residues,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Maize,Maize Smut,Fungal,Swollen gray galls on ears and tassels,"Ear, Tassel",Remove galls before rupture,Seed treatment where recommended,Use resistant hybrids and avoid plant injury,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Cotton,Cotton Wilt,Fungal,Wilting leaves; vascular browning; stunted growth,"Roots, Stem",Resistant varieties and bioagents,Carbendazim soil drench,Crop rotation and soil sanitation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Cotton,Cotton Leaf Curl Virus,Viral,Leaf curling; vein thickening; stunting,Leaves,Manage whitefly vectors,No direct cure,Use resistant varieties and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Sugarcane,Red Rot,Fungal,Reddening of cane internodes; sour smell; drying leaves,Stem,Healthy seed cane; hot water treatment,Carbendazim sett treatment,Avoid infected setts and rotate crops,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Sugarcane,Smut,Fungal,Black whip-like structure; thin stalks; reduced yield,Shoot,Disease-free seed cane,Fungicide sett treatment,Rogue infected clumps,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Soybean,Soybean Rust,Fungal,Small brown lesions; premature defoliation,Leaves,Early monitoring; resistant varieties,Triazole/strobilurin fungicide,Avoid late planting in high-risk zones,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Potato,Late Blight,Fungal/Oomycete,Dark water-soaked leaf spots; white mold; tuber rot,"Leaves, Tuber",Certified seed; remove infected plants,Mancozeb/metalaxyl,Avoid overhead irrigation and ensure spacing,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Potato,Early Blight,Fungal,Brown concentric ring spots; yellowing leaves,Leaves,Crop rotation; balanced nutrition,Chlorothalonil or copper fungicide,Remove crop debris and avoid plant stress,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Tomato,Tomato Early Blight,Fungal,Target-like brown spots; leaf yellowing; fruit lesions,"Leaves, Fruit",Remove infected leaves; compost management,Copper or chlorothalonil spray,Crop rotation and mulch,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Tomato,Tomato Yellow Leaf Curl Virus,Viral,Yellow curled leaves; stunting; flower drop,Leaves,Whitefly management; resistant hybrids,No direct cure,Use insect-proof nursery,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Tomato,Bacterial Wilt,Bacterial,Sudden wilting; brown vascular tissue; plant death,"Stem, Roots",Grafting and resistant rootstock,Soil treatment where permitted,Crop rotation and clean irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Onion,Downy Mildew,Fungal/Oomycete,Purple-gray fuzzy growth; leaf collapse,Leaves,Improve air circulation,Mancozeb or metalaxyl,Avoid overhead irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Chili,Anthracnose,Fungal,Sunken dark fruit lesions; fruit rot,Fruit,Clean seed; remove infected fruits,Azoxystrobin or copper fungicide,Proper spacing and sanitation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Cabbage,Black Rot,Bacterial,V-shaped yellow lesions; black veins,Leaves,Pathogen-free seed; hot water seed treatment,Copper-based bactericide,Crop rotation; avoid wet handling,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Cucumber,Downy Mildew,Fungal/Oomycete,Yellow angular spots; gray mold underside,Leaves,Resistant varieties and airflow,Copper/mancozeb,Avoid prolonged leaf wetness,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Eggplant,Phomopsis Blight,Fungal,Leaf spots; stem cankers; fruit rot,"Leaves, Stem, Fruit",Disease-free seed; sanitation,Mancozeb or copper fungicide,Remove infected debris,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
