crop_type,disease_name,disease_category,symptoms,affected_plant_part,biological_control,chemical_control,prevention_method,base_severity_index
Wheat,Wheat Rust,Fungal,Orange/yellow pustules on leaves; weak stems; reduced grain filling,"Leaves, Stem",Resistant varieties; crop rotation,Propiconazole or tebuconazole,Remove volunteer wheat and monitor early,78
Wheat,Powdery Mildew,Fungal,White powdery growth on leaves; yellowing; poor tillering,Leaves,Resistant varieties; balanced nitrogen,Sulfur or triazole fungicide,Avoid dense sowing and improve airflow,70
Rice,Rice Blast,Fungal,Diamond-shaped lesions; neck rot; empty panicles,"Leaves, Panicle",Resistant varieties; Trichoderma,Tricyclazole or azoxystrobin,Balanced fertilizer and field drainage,84
Rice,Bacterial Leaf Blight,Bacterial,Water-soaked stripes; yellowing leaf edges; wilting seedlings,Leaves,Clean seed; resistant cultivars,Copper-based bactericide,Avoid excessive nitrogen and contaminated water,76
Rice,Rice Tungro Virus,Viral,Orange-yellow discoloration; stunting; poor tillering,Whole plant,Control green leafhopper vectors,No direct cure,Plant resistant varieties and synchronize planting,82
Maize,Northern Corn Leaf Blight,Fungal,Long gray-green cigar-shaped lesions; leaf drying,Leaves,Residue management; resistant hybrids,Mancozeb or strobilurin fungicide,Rotate crops and avoid infected residues,73
Maize,Maize Smut,Fungal,Swollen gray galls on ears and tassels,"Ear, Tassel",Remove galls before rupture,Seed treatment where recommended,Use resistant hybrids and avoid plant injury,66
Cotton,Cotton Wilt,Fungal,Wilting leaves; vascular browning; stunted growth,"Roots, Stem",Resistant varieties and bioagents,Carbendazim soil drench,Crop rotation and soil sanitation,80
Cotton,Cotton Leaf Curl Virus,Viral,Leaf curling; vein thickening; stunting,Leaves,Manage whitefly vectors,No direct cure,Use resistant varieties and remove infected plants,86
Sugarcane,Red Rot,Fungal,Reddening of cane internodes; sour smell; drying leaves,Stem,Healthy seed cane; hot water treatment,Carbendazim sett treatment,Avoid infected setts and rotate crops,79
Sugarcane,Smut,Fungal,Black whip-like structure; thin stalks; reduced yield,Shoot,Disease-free seed cane,Fungicide sett treatment,Rogue infected clumps,72
Soybean,Soybean Rust,Fungal,Small brown lesions; premature defoliation,Leaves,Early monitoring; resistant varieties,Triazole/strobilurin fungicide,Avoid late planting in high-risk zones,81
Potato,Late Blight,Fungal/Oomycete,Dark water-soaked leaf spots; white mold; tuber rot,"Leaves, Tuber",Certified seed; remove infected plants,Mancozeb/metalaxyl,Avoid overhead irrigation and ensure spacing,90
Potato,Early Blight,Fungal,Brown concentric ring spots; yellowing leaves,Leaves,Crop rotation; balanced nutrition,Chlorothalonil or copper fungicide,Remove crop debris and avoid plant stress,74
Tomato,Tomato Early Blight,Fungal,Target-like brown spots; leaf yellowing; fruit lesions,"Leaves, Fruit",Remove infected leaves; compost management,Copper or chlorothalonil spray,Crop rotation and mulch,75
Tomato,Tomato Yellow Leaf Curl Virus,Viral,Yellow curled leaves; stunting; flower drop,Leaves,Whitefly management; resistant hybrids,No direct cure,Use insect-proof nursery,88
Tomato,Bacterial Wilt,Bacterial,Sudden wilting; brown vascular tissue; plant death,"Stem, Roots",Grafting and resistant rootstock,Soil treatment where permitted,Crop rotation and clean irrigation,85
Onion,Downy Mildew,Fungal/Oomycete,Purple-gray fuzzy growth; leaf collapse,Leaves,Improve air circulation,Mancozeb or metalaxyl,Avoid overhead irrigation,69
Chili,Anthracnose,Fungal,Sunken dark fruit lesions; fruit rot,Fruit,Clean seed; remove infected fruits,Azoxystrobin or copper fungicide,Proper spacing and sanitation,77
Cabbage,Black Rot,Bacterial,V-shaped yellow lesions; black veins,Leaves,Pathogen-free seed; hot water seed treatment,Copper-based bactericide,Crop rotation; avoid wet handling,78
Cucumber,Downy Mildew,Fungal/Oomycete,Yellow angular spots; gray mold underside,Leaves,Resistant varieties and airflow,Copper/mancozeb,Avoid prolonged leaf wetness,74
Eggplant,Phomopsis Blight,Fungal,Leaf spots; stem cankers; fruit rot,"Leaves, Stem, Fruit",Disease-free seed; sanitation,Mancozeb or copper fungicide,Remove infected debris,71
Banana,Panama Disease,Fungal,Yellowing leaves; vascular discoloration; plant collapse,"Roots, Stem",Resistant varieties; quarantine,No reliable field chemical cure,Avoid contaminated soil movement,92
Banana,Black Sigatoka,Fungal,Dark leaf streaks; leaf necrosis; small bunches,Leaves,Remove infected leaves,Systemic fungicide rotation,Improve spacing and drainage,83
Citrus,Citrus Canker,Bacterial,Raised corky lesions with yellow halo,"Leaves, Fruit",Windbreaks and sanitation,Copper sprays,Use disease-free nursery plants,79
Apple,Apple Scab,Fungal,Olive-brown leaf spots; cracked fruit lesions,"Leaves, Fruit",Remove fallen leaves,Captan or sulfur fungicide,Prune for airflow,70
Grapes,Downy Mildew,Fungal/Oomycete,Oil spots on leaves; white downy growth,"Leaves, Fruit",Canopy management and sanitation,Copper or metalaxyl fungicide,Avoid dense canopy and wet leaves,76
Mango,Anthracnose,Fungal,Black spots on flowers and fruits; blossom blight,"Flowers, Fruit",Pruning and sanitation,Copper or azoxystrobin spray,Improve orchard airflow,78
Coffee,Coffee Leaf Rust,Fungal,Orange powdery spots under leaves; defoliation,Leaves,Resistant varieties and shade management,Triazole fungicide,Monitor during humid periods,82
Tea,Tea Blister Blight,Fungal,Translucent spots; blister-like leaf lesions,Leaves,Remove infected shoots,Copper oxychloride or systemic fungicide,Improve pruning and sanitation,68
Chickpea,Ascochyta Blight,Fungal,"Brown lesions on leaves, stems, pods","Leaves, Stem, Pods",Disease-free seed,Seed treatment and fungicide spray,Crop rotation and residue management,81
Lentil,Lentil Rust,Fungal,Orange pustules; leaf drop; poor pod filling,Leaves,Resistant varieties,Triazole fungicide,Avoid late sowing in humid zones,67
Groundnut,Tikka Leaf Spot,Fungal,Brown/black leaf spots; defoliation,Leaves,Resistant cultivars; crop rotation,Mancozeb or chlorothalonil,Remove infected residues,72
Sunflower,Downy Mildew,Fungal/Oomycete,Chlorotic leaves; white growth underside; stunting,"Leaves, Stem",Resistant hybrids; seed treatment,Metalaxyl seed treatment,Avoid waterlogging,69
Barley,Barley Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Barley,Barley Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Barley,Barley Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Sorghum,Sorghum Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Sorghum,Sorghum Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Sorghum,Sorghum Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Millet,Millet Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Millet,Millet Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Millet,Millet Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Canola,Canola Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Canola,Canola Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
